name,parent
Escritura y Corrección,Papelería
Papel y Cuadernos,Papelería
Arte y Manualidades,Papelería
Oficina y Archivo,Papelería
Escolar y Didáctico,Papelería
Corte y Herramientas,Papelería
Belleza y Cuidado Personal,Bazar
Accesorios y Bisutería,Bazar
Hogar y Mascotas,Bazar
Fiestas y Juguetes,Bazar
Empaque y Vario,Bazar
Accesorios Tecnológicos,Tecnología
Gadgets y Entretenimiento,Tecnología
Zapatilla Venus Normal,Zapatillas
Zapatilla Ares Tipo Convers,Zapatillas
Zapatilla Splash,Zapatillas
Zapatilla Aquauno,Zapatillas
Accesorios de Celulares,Celulares
Tipos Celulares,Celulares